IID,sample_type,KNN_prediction,RandomForest_prediction,consensus_prediction,KNN_confidence,RandomForest_confidence
003_S_4350,ADNI,AFR,AMR,AFR,0.8048320076097798,0.27
003_S_4354,ADNI,EUR,AMR,EUR,1.0,0.26
003_S_4373,ADNI,AFR,AFR,Uncertain,0.6131822625476833,0.42
003_S_4441,ADNI,AFR,AFR,Uncertain,0.6257875964985418,0.33
003_S_4555,ADNI,AMR,AMR,AMR,1.0,0.7
005_S_0546,ADNI,AFR,AFR,Uncertain,0.6100609640400342,0.29
005_S_0553,ADNI,EUR,AFR,Uncertain,0.5866665641069849,0.28
005_S_0572,ADNI,AFR,EUR,Uncertain,0.607959735290667,0.3
005_S_0602,ADNI,AFR,AFR,AFR,0.8043601716584442,0.29
005_S_0610,ADNI,EUR,AFR,Uncertain,0.583855472139657,0.3
005_S_2390,ADNI,AFR,AMR,Uncertain,0.4119169773878566,0.32
005_S_4168,ADNI,EUR,EUR,Uncertain,0.5888392839020095,0.27
005_S_4185,ADNI,AFR,EUR,Uncertain,0.6076520050897405,0.28
005_S_4707,ADNI,EUR,EUR,Uncertain,0.5880030456090012,0.34
006_S_0498,ADNI,EUR,AFR,Uncertain,0.5936865445918224,0.3
006_S_0731,ADNI,AMR,EUR,AMR,0.8006228761080466,0.28
006_S_1130,ADNI,EUR,EUR,EUR,1.0,0.3
006_S_4150,ADNI,AFR,AFR,Uncertain,0.6085848892592947,0.29
006_S_4153,ADNI,EUR,AFR,Uncertain,0.593088662090313,0.32
006_S_4346,ADNI,EUR,AFR,Uncertain,0.5846874374619762,0.31
006_S_4357,ADNI,AFR,AMR,AFR,0.8041507337519148,0.28
006_S_4363,ADNI,EUR,EUR,Uncertain,0.5923748214401413,0.28
006_S_4449,ADNI,AMR,AFR,Uncertain,0.5941515296397089,0.29
006_S_4515,ADNI,AFR,AFR,Uncertain,0.6078799306045874,0.34
006_S_4546,ADNI,EUR,AFR,Uncertain,0.5857268391569163,0.29
007_S_0068,ADNI,AFR,AFR,Uncertain,0.6054677968049869,0.36
007_S_0101,ADNI,EUR,AFR,Uncertain,0.5901267334820969,0.24
007_S_0128,ADNI,AFR,EUR,Uncertain,0.6031747417727155,0.33
007_S_1206,ADNI,EUR,AFR,Uncertain,0.5929678669933341,0.32
007_S_1222,ADNI,EUR,AFR,Uncertain,0.5821705972162985,0.46
007_S_2058,ADNI,EUR,AFR,Uncertain,0.5891548133304763,0.42
007_S_2394,ADNI,EUR,EUR,Uncertain,0.5854588549794171,0.29
007_S_4272,ADNI,AFR,EUR,AFR,0.8048943798143179,0.31
007_S_4387,ADNI,AFR,AFR,Uncertain,0.6099915389000387,0.32
007_S_4467,ADNI,AFR,AFR,Uncertain,0.41061424339357155,0.26
007_S_4488,ADNI,AFR,AFR,AFR,0.8030001985342625,0.28
007_S_4516,ADNI,AFR,AFR,Uncertain,0.6045320893166474,0.3
007_S_4611,ADNI,EUR,AFR,Uncertain,0.597477141217593,0.43
007_S_4620,ADNI,EUR,AFR,Uncertain,0.5911256010771173,0.32
009_S_0842,ADNI,AFR,AFR,Uncertain,0.6041398076730956,0.42
009_S_1030,ADNI,AFR,EUR,Uncertain,0.606884760674977,0.33
009_S_2208,ADNI,AFR,EUR,AFR,0.8062162946725644,0.3
009_S_2381,ADNI,EUR,AFR,Uncertain,0.5911818228606311,0.29
009_S_4324,ADNI,AFR,EUR,Uncertain,0.6106521453859504,0.29
009_S_4337,ADNI,EUR,AFR,EUR,1.0,0.25
009_S_4359,ADNI,EUR,AFR,Uncertain,0.5890875708932849,0.24
009_S_4388,ADNI,AFR,AMR,Uncertain,0.6106531494476319,0.28
009_S_4530,ADNI,AFR,AFR,Uncertain,0.6075759854776714,0.37
009_S_4564,ADNI,EUR,AFR,Uncertain,0.5925636047192921,0.3
009_S_4612,ADNI,EUR,EUR,Uncertain,0.5891642946077377,0.32
011_S_0008,ADNI,AFR,AFR,AFR,0.8060455626386992,0.26
011_S_0021,ADNI,AMR,AFR,Uncertain,0.4101835879759679,0.45
011_S_0023,ADNI,AMR,AFR,Uncertain,0.40963525351930735,0.47
011_S_1080,ADNI,AFR,AFR,AFR,0.8033024931372491,0.27
011_S_1282,ADNI,AFR,AFR,AFR,0.8060375574890566,0.27
011_S_2274,ADNI,AFR,EUR,AFR,0.8051575937046778,0.26
011_S_4075,ADNI,EUR,EUR,EUR,1.0,0.28
011_S_4120,ADNI,EUR,AFR,Uncertain,0.5907275620948998,0.29
011_S_4222,ADNI,EUR,AFR,Uncertain,0.5898927437549161,0.27
011_S_4235,ADNI,EUR,AMR,Uncertain,0.5913709998383077,0.27
011_S_4366,ADNI,EUR,EUR,Uncertain,0.5928981135349568,0.26
011_S_4547,ADNI,EUR,AFR,Uncertain,0.5980462031569242,0.31
012_S_0637,ADNI,EUR,AFR,Uncertain,0.5903555815357091,0.32
012_S_4012,ADNI,AFR,EUR,Uncertain,0.6048514297646185,0.29
012_S_4026,ADNI,AFR,EUR,Uncertain,0.6052088277881221,0.29
012_S_4094,ADNI,EUR,AMR,Uncertain,0.5914584373414052,0.24
012_S_4128,ADNI,AFR,AFR,Uncertain,0.6028667802642961,0.27
012_S_4545,ADNI,AFR,AFR,Uncertain,0.606398026327276,0.32
012_S_4643,ADNI,AFR,EUR,AFR,0.8061186600419845,0.32
013_S_1186,ADNI,EUR,EUR,EUR,1.0,0.27
013_S_2324,ADNI,AMR,AMR,AMR,1.0,0.7
013_S_2389,ADNI,AMR,AMR,AMR,1.0,0.78
013_S_4268,ADNI,EUR,AFR,EUR,1.0,0.27
013_S_4395,ADNI,AMR,AFR,Uncertain,0.41388944920003984,0.44
013_S_4595,ADNI,AFR,EUR,AFR,0.8051318102624078,0.32
014_S_0169,ADNI,AFR,AFR,Uncertain,0.4101818692407881,0.35
014_S_0519,ADNI,AFR,AFR,Uncertain,0.6057845041259903,0.28
014_S_0548,ADNI,AFR,EUR,Uncertain,0.6039556970046269,0.23
014_S_0557,ADNI,AFR,AFR,Uncertain,0.6058327304513516,0.32
014_S_0563,ADNI,EUR,AMR,EUR,1.0,0.28
014_S_0658,ADNI,AFR,EUR,Uncertain,0.6062881865634966,0.3
014_S_2185,ADNI,AFR,AFR,Uncertain,0.6098558401603065,0.32
014_S_2308,ADNI,AFR,AFR,Uncertain,0.6082780238882985,0.3
014_S_4039,ADNI,EUR,EUR,Uncertain,0.5923361531594273,0.29
